Mes,Ventas,Ganancias,Stock,Precio,Descuento (%),Región,Categoría del Producto,Producto,Costos Operativos,Devoluciones,Unidades Vendidas
Mayo,8517,4993,6766,238.85715829405237,18.84,Zaragoza,Ropa,Tablet,22,35,437
Noviembre,7720,1123,2834,195.97008682628197,17.9,Valladolid,Electrónica,Libro,29,47,499
Septiembre,7697,3637,8670,287.18242196355965,20.96,Valencia,Juguetes,Refrigerador,23,6,473
Enero,1225,558,1270,60.18873829609089,21.84,Sevilla,Juguetes,Zapatillas,26,24,388
Julio,4373,4816,7570,272.8823194997579,21.11,Valencia,Juguetes,Tablet,10,50,116
Mayo,6746,2468,1246,877.032854828285,13.01,Palma,Alimentos,Libro,10,49,210
Abril,2609,2316,3987,93.54994558324627,19.09,Zaragoza,Alimentos,Laptop,26,1,162
Septiembre,2216,3325,8624,821.2835629642168,14.46,Toledo,Alimentos,Libro,30,42,350
Agosto,1795,2080,7976,895.8925240919107,0.24,Murcia,Electrónica,Muñeca,27,46,173
Diciembre,6679,4419,7217,549.5462258412879,27.7,Logroño,Alimentos,Tablet,24,13,497
Abril,4091,4536,2676,567.876316506187,21.05,Valladolid,Hogar,Microondas,12,45,420
Marzo,9029,4269,7521,302.12743329462955,29.26,Murcia,Electrónica,Microondas,16,31,267
Noviembre,9151,1836,1697,137.33781865734738,20.81,Santander,Alimentos,Zapatillas,15,27,213
Enero,6942,3320,8300,824.2638541026196,28.88,Valladolid,Alimentos,Tablet,10,3,313
Febrero,9372,1704,6179,764.7500978012391,29.54,Sevilla,Ropa,Laptop,14,49,143
Junio,2403,4101,8657,351.95728205018503,3.58,Zaragoza,Alimentos,Microondas,29,3,323
Agosto,5747,2768,6944,446.98923910918376,11.35,Oviedo,Juguetes,Pelota,18,28,416
Agosto,728,1227,3308,324.09650857659597,4.29,Santander,Juguetes,Laptop,28,21,305
Diciembre,5477,3080,688,29.498812219691768,3.22,Murcia,Ropa,Tablet,19,30,472
Julio,9783,4904,9109,435.3038042778184,16.14,Toledo,Alimentos,Teléfono,17,1,499
Marzo,9043,1023,7144,803.0266831030337,25.08,Málaga,Alimentos,Zapatillas,14,44,232
Febrero,445,4289,6479,894.8246054734689,18.25,Granada,Alimentos,Muñeca,30,32,77
Agosto,2985,760,6218,48.44871267367168,23.34,Valencia,Alimentos,Libro,10,43,170
Mayo,4121,1830,6674,106.16959732692467,27.74,Palma,Alimentos,Pelota,30,38,128
Julio,8935,4167,5061,320.98228788727704,13.68,Murcia,Alimentos,Refrigerador,20,5,292
Marzo,8054,4436,3195,356.89187116811325,6.09,Bilbao,Ropa,Camiseta,13,48,42
Julio,9836,2198,6684,107.70870004337205,24.87,Valencia,Electrónica,Laptop,20,43,466
Enero,9213,2920,5146,994.3098841868809,12.94,Toledo,Alimentos,Laptop,10,47,231
Mayo,4846,1893,4680,767.2693648045367,20.52,Palma,Ropa,Zapatillas,13,41,425
Octubre,9956,704,9196,597.831016731938,12.3,Valencia,Electrónica,Muñeca,11,34,373
Agosto,7158,1384,5007,562.6655794644297,20.24,Logroño,Hogar,Teléfono,27,25,355
Enero,557,3212,2648,928.9205646479452,22.42,Sevilla,Ropa,Microondas,20,50,5
Febrero,708,225,5974,314.14467940402966,26.13,Málaga,Electrónica,Tablet,11,3,444
Agosto,4792,4239,1709,925.8775426720762,2.05,Zaragoza,Alimentos,Tablet,10,26,56
Febrero,1203,3020,8254,732.6519337599624,6.14,Santander,Electrónica,Microondas,29,10,412
Julio,7141,2086,9360,594.9374754432046,5.24,Zaragoza,Hogar,Laptop,15,42,231
Enero,2252,683,5117,956.2936255021024,26.6,Barcelona,Ropa,Camiseta,10,40,415
Febrero,1865,1504,5603,569.6456526227083,20.22,Córdoba,Electrónica,Zapatillas,29,18,235
Julio,3255,3386,3641,77.42910862625656,0.98,Zaragoza,Electrónica,Tablet,29,27,24
Noviembre,4880,2664,5032,789.1498047902116,20.97,Córdoba,Juguetes,Tablet,16,41,375
Abril,6244,2275,9894,130.3267003286859,12.01,Madrid,Juguetes,Teléfono,11,25,288
Septiembre,6560,3001,5668,181.98879666581976,16.43,Valencia,Ropa,Refrigerador,25,10,446
Enero,2682,3997,537,445.47420553048215,4.84,Málaga,Ropa,Zapatillas,12,18,418
Junio,4449,1694,8880,468.2087710885883,8.47,Valladolid,Electrónica,Muñeca,26,16,150
Septiembre,9010,782,890,13.361019118335724,2.24,Granada,Electrónica,Microondas,27,46,3
Septiembre,5885,3056,5463,418.86337619925223,2.58,Murcia,Hogar,Muñeca,15,4,153
Noviembre,991,2959,7385,892.0958990708323,7.17,Sevilla,Juguetes,Tablet,26,0,36
Junio,3965,4656,2519,891.9381188572639,25.94,Logroño,Hogar,Microondas,23,24,496
Marzo,4933,4309,7543,988.1513678877943,8.0,Madrid,Alimentos,Laptop,21,8,220
Junio,5398,3029,9116,203.1188825913508,12.68,Córdoba,Hogar,Libro,16,46,88
Septiembre,9926,4295,7120,446.56153493390224,20.25,Granada,Juguetes,Microondas,12,21,366
Diciembre,158,1017,2591,705.8634309054531,8.34,Zaragoza,Juguetes,Tablet,18,19,290
Octubre,3448,3123,6355,954.8984197818621,14.67,Bilbao,Electrónica,Teléfono,30,27,332
Diciembre,6302,2662,7618,539.9803621118169,3.61,Murcia,Juguetes,Laptop,26,6,413
Febrero,5130,626,2471,345.6581028262723,12.79,Sevilla,Hogar,Camiseta,11,17,293
Noviembre,5078,4100,6299,480.1699323438795,22.34,Barcelona,Ropa,Libro,18,50,100
Agosto,4200,2576,7656,963.721643291993,18.3,Valencia,Electrónica,Pelota,17,2,57
Noviembre,2188,707,3215,536.9952698001184,26.45,Madrid,Hogar,Refrigerador,10,28,347
Noviembre,4785,1621,1287,160.35929874330884,1.44,Córdoba,Electrónica,Teléfono,13,40,449
Diciembre,7326,2865,3118,316.5385333730017,7.53,Bilbao,Juguetes,Libro,20,3,92
Octubre,3942,4160,3590,558.7408437381342,26.53,Valencia,Ropa,Zapatillas,16,38,82
Mayo,6949,2033,7436,808.0393481447301,12.49,Granada,Alimentos,Teléfono,17,15,399
Octubre,775,1892,3967,589.2052857582291,0.89,Barcelona,Hogar,Laptop,17,13,58
Octubre,3400,3674,6670,184.3904403008409,26.79,Granada,Hogar,Pelota,13,6,359
Junio,1553,1339,6252,926.3551071021918,20.93,Madrid,Hogar,Libro,10,8,361
Abril,5228,2877,4546,370.59587314858715,22.77,Madrid,Hogar,Laptop,16,18,8
Julio,8256,2088,6814,634.6771606538615,4.36,Santander,Hogar,Camiseta,16,10,5
Febrero,4210,2595,2343,851.0852212897087,19.58,Santander,Hogar,Muñeca,15,37,139
Julio,3810,2236,7893,688.097491157052,20.41,Oviedo,Alimentos,Zapatillas,28,48,281
Noviembre,3687,4616,5511,236.1303863995882,3.86,Granada,Hogar,Libro,12,4,59
Agosto,4516,1672,2712,593.2514233648955,18.99,Zaragoza,Juguetes,Muñeca,10,41,221
Enero,5537,724,5559,784.0729724074839,27.92,Valladolid,Hogar,Teléfono,22,49,54
Marzo,335,4148,565,498.9474839676429,2.96,Barcelona,Electrónica,Microondas,29,5,374
Agosto,1355,3898,383,658.5508774691866,16.06,Córdoba,Ropa,Zapatillas,22,0,343
Mayo,3650,1913,7077,733.4577546763884,4.2,Madrid,Hogar,Tablet,13,13,269
Enero,6091,2812,7998,616.9152233352395,21.04,Oviedo,Electrónica,Libro,15,40,96
Octubre,1955,4018,4408,984.7051442598818,11.51,Logroño,Juguetes,Camiseta,30,16,8
Abril,1917,3433,5697,521.3409482001291,11.17,Palma,Ropa,Zapatillas,24,3,17
Junio,2809,1640,8442,894.3522567372906,23.68,Bilbao,Juguetes,Libro,23,29,431
Enero,3687,1542,658,353.30150221977067,11.68,Barcelona,Alimentos,Pelota,26,19,16
Febrero,6783,3289,1753,240.05718469625097,28.72,Oviedo,Juguetes,Refrigerador,21,10,256
Octubre,5860,2414,3054,818.4649146430332,14.02,Valladolid,Hogar,Teléfono,21,20,102
Enero,479,2352,2996,231.56208563731502,27.68,Granada,Ropa,Laptop,13,43,188
Diciembre,2609,103,6210,633.1292821653102,22.14,Bilbao,Juguetes,Refrigerador,28,32,476
